"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Male","Europe",,"35 to 44","Doctorate degree","Yes","Mid level","36000","11-25 years","Researcher","Yes","Archaeology","ArcGIS;AutoCAD;QGIS","QGIS","A bit","No","Raster","GDAL;GIMP;Microstation;Python","Python","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","10","7","No"
"Male","United States","Pennsylvania","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","70000","11-25 years","Analyst","Yes","Local Government","ArcGIS;GeoMedia","ArcGIS","Primarily","No","Vector","Access;FME;Python","Python","File Geodatabase (ESRI)","GISP","Yes","No","2","No","Positively","Yes","To some extent","9","9","No"
"Male","United States","South Dakota","18 to 24","High School or equivalent",,"Student - University/College","24000","Not employed.",,,,"ArcGIS;AutoCAD;Google Earth","ArcGIS","A bit","No","Raster",,"Python","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","No",,"6","7","Don't care"
"Male","Other",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","25000","5-10 years","Technician","No","Local Government","Google Earth;QGIS","QGIS",,"No","Vector","GDAL","No","SQLite (SpatiaLite, GeoPackage)","No",,,"1","Yes - More than once a month","Positively","Yes","To some extent","10","9","No"
"Female","United States","Pennsylvania","25 to 34","Master's Degree","Maybe","Entry level","33280","Under 1 year","Analyst","""Geospatial""","Local Government","ArcGIS;ERDAS;Google Earth;Idrisi;QGIS","ArcGIS","Primarily","InkScape","50/50","Python","No;Python","PostgreSQL","No","No","No","2","No","Positively","I was, but back in the office now","To some extent","10","8","No"
"Female","Other","Not United States","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","4211","Under 1 year","Specialist","Yes","GIS","ArcGIS","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","8","8","No"
"Male","Australia","Not United States","35 to 44","Bachelor's (Undergraduate) Degree","No","Mid level","65000","5-10 years","Analyst","No","Local Government","ArcGIS;QGIS","ArcGIS","No","No","Vector","Python;SQL Server","Python","MySQL","No",,,"2","Yes - Once a month","Not much difference","I was, but back in the office now","No","10","5",
"Male","United States","California","25 to 34","Master's Degree","Don't get a Masters in GIS but in something else","Mid level","70000","5-10 years","Specialist","Geographic Information Systems","Transportation","ArcGIS;AutoCAD;Google Earth","ArcGIS","50/50","No","50/50","FME;Python;SQL Server","Python;SQL","File Geodatabase (ESRI)","EIT","No","No","2","No","Positively","Yes","No","7","1","No"
"Male","Netherlands",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","40000","Under 1 year","Specialist","Yes","Utilities","ArcGIS","ArcGIS","Exclusively","No","50/50","FME","No;SQL","SQL Server","No",,,"2","No","Not much difference","Yes","No","7","7","Yes"
"Male","Germany","Not United States","25 to 34","Master's Degree","Yes","Mid level","40000","2-5 years","Specialist","Yes","Consulting","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","GIMP;PostGIS;Python;SQL Server;VS Code","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","8","10","haha memes go brrrr"
"Male","Other",,"18 to 24","Bachelor's (Undergraduate) Degree","Maybe","Mid level","12000","Under 1 year","Coordinator","Yes","Central Government","ArcGIS;AutoCAD;Global Mapper;QGIS","QGIS","A bit","No","50/50","GDAL;GIMP;Pix4D;PostGIS;Python;VS Code","Python;SQL;JavaScript","PostgreSQL","No",,,"2","No","Not much difference","I was, but back in the office now","No","8","8","Don't care"
"Male","United States","Virginia","25 to 34","Master's Degree","Not in GIS; but if you’re in a specialist field that uses GIS (geology, O&G, etc.) it can be a useful ladder","Mangement","112000","5-10 years","Consultant","Yes","Consulting","ArcGIS;Google Earth;GRASS;QGIS","ArcGIS","A bit","No","50/50","FME;GDAL;PostGIS;Python;R;SQL Server;VS Code;Oracle, PostGreSQL, Fiddler, NodeJS, MongoDB, EnerGov, Cityworks, ArcGIS Enterprise, MapBox, Leaflet, PowerShell, Hyper-V, Microsoft Office, Office365, Visio, OpenOffice","Python;SQL;.NET;JavaScript;DOS (shell scripting), NodeJS, HTML/CSS","SQL Server","No","Yes","Yes","2","Yes - Once a year","Not much difference","I was already working from home","I was already working from home","7","5","Don't care"
"Male","United States","Maryland","18 to 24","Some college",,"Entry level","32656","1-2 years","Intern","No","Consulting","ArcGIS","ArcGIS","No","No","50/50",,"No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","6","6","haha memes go brrrr"
"Male","United Kingdom",,"18 to 24","Bachelor's (Undergraduate) Degree","Yes","Student - University/College","0","Not employed.",,,,"ArcGIS;GRASS;QGIS","QGIS",,"GIMP","50/50","GIMP;Python;R;RSGISLib","Python","None (ShapeFiles baby)","No",,,"3",,"Negatively","Yes","No","7","8","Don't care"
"Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","93000","11-25 years","Geographer","No","Central Government","ArcGIS;QGIS","ArcGIS","50/50","No","Vector","FME;GDAL;PostGIS;PyCharm;Python;Oracle","Python;SQL","Oracle","No",,,"2","No","Not much difference","Yes","Yes","7","6","Don't care"
"Female","United States","New York","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","52000","1-2 years","Research Assistant","No","Consulting","ArcGIS;Google Earth","ArcGIS","Primarily","No","50/50",,"Python","File Geodatabase (ESRI)","No",,,"2","No","Negatively","Yes","Yes","7","7","No"
"Male","United States","Texas","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","50000","Under 1 year","Technician","Yes","Civil Engineering","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","50/50",,"No","File Geodatabase (ESRI)","No",,,"3","No","Positively","No","No","8","9","haha memes go brrrr"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","26000","1-2 years","Specialist","Geomatics","Environmental","ArcGIS","ArcGIS","A bit","No","Vector","Access;Python;SQL Server","No","Personal Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","No","8","9","No"
"Male","United States","Maryland","35 to 44","Bachelor's (Undergraduate) Degree","Yes","Mangement","92000","11-25 years","Manager","No","Local Government","ArcGIS;ERDAS;Global Mapper;Google Earth;QGIS","ArcGIS","Primarily","Illustrator","Vector","FME;InDesign;Microstation;Python","Python","SQL Server","GISP","No","No","3","Yes - More than once a year","Positively","Yes","To some extent","8","6","No"
"Female","United States","North Carolina","25 to 34","Bachelor's (Undergraduate) Degree","Not Applicable","Mid level","81120","2-5 years","Analyst","Yes","Central Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","Vector","None","No","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","No","Positively","Yes","Yes","9","10","No"
"Female","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Student - University/College","30000","Under 1 year","Specialist","No","Central Government","ArcGIS;ENVI;Google Earth;QGIS","ArcGIS","Exclusively","No","Vector","Python","Python","None (ShapeFiles baby)","No","No","No","2","No","Negatively","Yes","To some extent","7","7","haha memes go brrrr"
"Male","United States","Florida","25 to 34","Master's Degree","Yes","Mid level","65700.00","2-5 years","Specialist","No","Energy","ArcGIS;AutoCAD;ERDAS;Google Earth;QGIS;SmallWorld","ArcGIS","A bit","No","Vector","FME;Python;SQL Server","No","PostgreSQL","No",,,"2","No","Positively","Yes","Yes","10","10","Yes"
"Male","United States","Illinois","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","56000","2-5 years","Analyst","Yes","Telecommunications","ArcGIS","ArcGIS","A bit","No","Vector","FME","No","File Geodatabase (ESRI)","certificate through university ","No","No","3","No","Negatively","Yes","Yes","8","4","Yes"
"Male","United States","Washington","55 to 64","Doctorate degree","Yes","Mid level","100000","26 or more years","professor","No","Education","ArcGIS;ERDAS;Google Earth;QGIS","ArcGIS","Exclusively","No","50/50","R","Python","File Geodatabase (ESRI)","No",,,"1","Yes - More than once a year","Not much difference","No","No","8","8","Don't care"
"Male","Ireland",,"45 to 54","Master's Degree","Yes","Mid level","65000","11-25 years","Consultant","Yes","Consulting","MapInfo;QGIS","MapInfo",,"No","Vector","FME;GDAL;PostGIS;R","No","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","8","7","No"
"Male","United States","New Jersey","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","100000","11-25 years","Product Manager","No","Advertising","ArcGIS;Google Earth;QGIS","QGIS","Primarily","No","Vector","GDAL;PostGIS;PyCharm;Python;VS Code;Openlayers, geoserver","Python;SQL;JavaScript","PostgreSQL","No",,,"3","No","Not much difference","Yes","Yes","8","5","Yes"
"Male","Canada","Not United States","18 to 24","Master's Degree","Yes","Entry level","55000","Under 1 year","Analyst","Geomatics","Defense","ArcGIS","ArcGIS","Exclusively","No","50/50","Python;SQL Server","Python;SQL;C#;JavaScript","SQL Server","No",,,"3","Yes - More than once a month","Not much difference","Yes","To some extent","8","7","haha memes go brrrr"
"Male","United States","Arizona","35 to 44","Master's Degree","Maybe","Student - University/College","70000","11-25 years","Analyst","Yes","Utilities","ArcGIS;AutoCAD;Google Earth","ArcGIS","A bit","No","Vector","PyCharm;Python;SQL Server","Python;SQL","Oracle","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","6","6","Yes"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","110000","5-10 years","Researcher","No","Natural Resources","None","None",,"No","Raster","custom","Python;SQL;C#;JavaScript;Java;custom","PostgreSQL","No",,,"4+","No","Not much difference","I was already working from home","I was already working from home","1","1","Don't care"
"Male","Canada",,"45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","53000","26 or more years","Technician","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","Exclusively","No","Vector",,"No","SQL Server","No",,,"2","Yes - More than once a month","Not much difference","I was, but back in the office now",,"9","9","Don't care"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","40000","1-2 years","Technician","Yes","Local Government","ArcGIS","ArcGIS","No","No","Vector","Access","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","I was, but back in the office now","To some extent","8","10","No"
"Male","Europe",,"25 to 34","Master's Degree","Maybe","Mid level","15000","1-2 years","Technician","No","Utilities","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","Vector","Access;Matlab;Python;VS Code","Python;SQL","SQL Server","No","No","No","1","Yes - Once a year","Not much difference","No","No","6","8","haha memes go brrrr"
"Male","United States","Illinois","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","26000","2-5 years","Research Assistant","No","Academia","None","None",,"GIMP","Vector","GDAL;GIMP;Python;R;SQL Server","Python;SQL","SQLite (SpatiaLite, GeoPackage)","No",,,"2","No","Not much difference","Yes","No","7","5","haha memes go brrrr"
"Male","United States","Nebraska","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","28000","2-5 years","Technician","Yes","Natural Resources","ArcGIS","ArcGIS","50/50","No","Raster","R;Excel","Python;R","None (ShapeFiles baby)","No",,,"2","Yes - Once a week","Not much difference","No",,"7","9","Yes"
"Female","United States","Wisconsin","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","43000","2-5 years","Technician","Yes","Local Government","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","Python;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","Yes","8","4","Don't care"
"Male","United States","Illinois","25 to 34","Master's Degree","Yes","Mid level","80000","5-10 years","Analyst","No","Regional Government / Urban Planning","ArcGIS","ArcGIS","50/50","No","Vector","Python;R","Python;JavaScript","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","9","8","Don't care"
"Male","United States","Pennsylvania","35 to 44","Doctorate degree","Maybe","Mid level","75000","11-25 years","Computational Scientist","No","Academia","ArcGIS","ArcGIS","Primarily","No","Raster","Matlab;PostGIS;Python;R","Python;SQL;C++","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","8","8","No"
"Male","United States","Maryland","25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Mid level","90000","2-5 years","Developer","Yes","Oil and Gas","ArcGIS;Global Mapper;Google Earth","ArcGIS","Primarily","No","50/50","GDAL;PostGIS;Python","Python;SQL;JavaScript","PostgreSQL","No","Partly","No","3","Yes - More than once a month","Not much difference","Yes","To some extent","8","8","Don't care"
"Male","United States","Alaska","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","100000","5-10 years","Developer","Yes","Utilities","ArcGIS","ArcGIS","No","No","Vector","FME;PyCharm;Python;PL/SQL developer","Python;SQL;C#","Oracle","No",,,"4+","No","Positively","Yes","No","8","8","No"
"Male","United States","Wyoming","18 to 24","High School or equivalent",,"Student working on AS, Freelancer, and I work for a company full time. ","32000","1-2 years","Technician","No","Utilities","ArcGIS;AutoCAD;Google Earth","ArcGIS","Exclusively","Illustrator",,"Tableau","No","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","Yes - Most days","Positively","I was, but back in the office now","Yes","10","10","haha memes go brrrr"
"Male","Europe","Not United States","25 to 34","Master's Degree","Yes","Entry level","73440","Under 1 year","Consultant","Yes","Consulting","AutoCAD;Google Earth;GRASS;QGIS","QGIS","No","No","50/50","FME;GDAL;GIMP;Microstation;PostGIS;Python;VS Code","Python","PostgreSQL","No",,,"3","Yes - Once a week","Not much difference","Yes","To some extent","10","10","haha memes go brrrr"
"Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","70000","5-10 years","Manager","Yes","Forestry","ArcGIS","ArcGIS","A bit","No","Raster","Access","No","Personal Geodatabase (ESRI)","No",,,"4+","Yes - More than once a year","Not much difference","I was, but back in the office now","To some extent","8","8","No"
"Male","United States","California","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","50000","2-5 years","Technician","Yes","Forestry","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","FME;Python","No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Positively","Yes","Yes","10","10","haha memes go brrrr"
"Male","United States","Massachusetts","25 to 34","Bachelor's (Undergraduate) Degree","Yes","Mid level","89200","2-5 years","Analyst","No","Emergency Management","ArcGIS","ArcGIS","Exclusively","No","Vector","Python;SQL Server;VS Code;Javascript","Python;SQL;JavaScript","MySQL","No",,,"3","Yes - Once a week","Not much difference","Yes","No","10","6","Yes"
"Female","United States","Arizona","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","39000","2-5 years","Project Manager","No","Telecommunications","ArcGIS;QGIS","Other",,"No","Vector",,"No","SQL Server","No",,,"2","No","Not much difference","Yes","Yes","9","10","No"
"Male","Europe",,"35 to 44","High School or equivalent",,"Self employed (Entrepreneur, Freelancer, etc..)","73000","11-25 years","Developer","Yes","Telecommunications","ArcGIS;Google Earth;QGIS;SmallWorld","QGIS","No","No","Vector","GDAL;PostGIS","C++","SQLite (SpatiaLite, GeoPackage)","No",,,"2","Yes - More than once a year","Positively","I was already working from home","Yes","10","10","No"
"Female","United States","New York","55 to 64","Master's Degree","Maybe","Mid level","30000","26 or more years","part-time engineer","No","Engineering","ArcGIS;Google Earth;GRASS;QGIS","ArcGIS","A bit","No","Vector","GDAL;GIMP;Python;R","I use Python and SQL a very little bit.","Rasdaman","No",,,"2","Yes - Once a year","Negatively","Yes","To some extent","7","10","Don't care"
